id,exercise_name,calories,type
67,Holman Straight Plank Dumbbell Reach-Under,483,Strength
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,179,Strength
69,Holman Weighted Burpee to Pike,486,Strength
70,Holman Straight-Legged Boat Chest Press,215,Strength
71,Holman Weighted Burpee to Side Delt Raise,430,Strength
72,Holman Heavy Double Pike,460,Strength
73,Holman Heavy Double Split Pike,460,Strength
74,MetaBurn Alternating Dumbbell Sit-Through,199,Strength
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,479,Strength
76,MetaBurn Alternating Plank Row With Push-Up,151,Strength
77,MetaBurn Dumbbell Russian Twist,471,Strength
78,MetaBurn Dumbbell Toe-Touch,380,Strength
79,MetaBurn Plank To Alternating Row,128,Strength
80,Standing dumbbell knee crunch-,241,Strength
81,MetaBurn Plank With Dumbbell Rotation,331,Strength
82,FYR2 Dumbbell Crab Reach,65,Strength
83,FYR2 Dumbbell Man-Maker,469,Strength
84,FYR2 Dumbbell Sit-Up Reach,174,Strength
85,FYR2 Loaded Beast Sprawl,65,Strength
86,FYR2 Loaded to Unloaded Beast,114,Strength
87,Lying Leg Pullover,215,Strength
88,Landmine twist,460,Strength
89,Suspended ab fall-out,316,Strength
90,Decline reverse crunch,309,Strength
91,Plate Twist,315,Strength
92,Weighted Crunches,138,Strength
93,Ab Roller,137,Strength
94,Otis-Up,270,Strength
95,Captain's chair knee raise,446,Strength
96,Sledgehammer swing,314,Plyometrics
97,Decline bar press sit-up,456,Strength
98,Pallof press,134,Strength
99,Weighted Sit-Ups - With Bands,396,Strength
100,Suitcase crunch,495,Strength
101,FYR Rope Jumping,423,Strength
102,Barbell press sit-up,66,Strength
103,Single-arm bent-over rear delt fly,470,Strength
104,Captain's chair leg raise,469,Strength
105,Shoulder-Elevated One-Leg Hip Thrusts,456,Strength
106,Ab Twist - Gethin Variation,158,Strength
107,Weighted Crunch - Gethin Variation,328,Strength
108,Ab Wheel Roll-Out - Gethin Variation,164,Strength
109,Bench crunch,213,Strength
110,Decline plate sit-up twist,489,Strength
111,Reverse ab roll-out,282,Strength
112,30 Seated Twist With PVC Pipe,414,Strength
113,Suspended crunch-,324,Strength
114,Suspended oblique crunch,323,Strength
115,Weighted sit-up,410,Strength
116,30 Decline Press Sit-Up,176,Strength
117,Holman Towel Reverse Plank Alternating Heel Pull-in,283,Strength
118,Holman Boat with Weighted Cross Punch,135,Strength
119,Holman Weighted Hook Punch,158,Strength
120,Holman Weighted Traveling Punch,421,Strength
121,Holman Weighted Uppercut Punch,247,Strength
122,Holman Slow Weighted Double Pike,79,Strength
123,Holman Plate Straight Plank Reach,480,Strength
124,Holman Plate Elbow Plank Jack to Straight Plank Jack,418,Strength
125,Holman Plate Hill Climber,145,Strength
126,Holman Plate Reverse Plank Hill Climber,445,Strength
127,Holman Plate Straight Plank Pike to Jack,405,Strength
128,Holman Plate In-and-Out Push-Up,53,Strength
129,Holman Plate Burpee,434,Strength
130,Holman Plate Elbow Plank Reach,377,Strength
131,Holman Elbow Plank to Renegade Row,441,Strength
132,Holman Straight Plank Weighted Hand Hill Climber,310,Strength
133,Holman Weighted Left Side Diagonal Pike,479,Strength
134,Holman Weighted Right Side Diagonal Pike,412,Strength
135,Holman Weighted W-Boat to Overhead Press,84,Strength
136,Holman Weighted Kneeling Lift,373,Strength
137,Holman Hips-Up Weighted Pull-Over,163,Strength
138,Holman Weighted Cross Punch,356,Strength
139,Holman Straight-Leg Boat Hover Chest Press,223,Strength
140,Holman Weighted Pike,309,Strength
141,Holman Feet-Elevated Wax-On Wax-Off,424,Strength
142,Holman Elbow Plank to Towel Pike,220,Strength
143,Holman Seated Killer Abs Overhead Press,88,Strength
144,Holman Straight Plank Alternating Weighted Open,213,Strength
145,Holman Weighted Killer Abs with Overhead Press,214,Strength
146,Holman Weighted Split-Leg Pike,358,Strength
147,Holman Towel Reverse Plank Heel Pull-in,382,Strength
148,Stick Twist,416,Strength
149,Roc Everest,256,Cardio
150,Standing cable low-to-high twist,454,Strength
151,Single-arm high-cable side bend,402,Strength
152,Kneeling cable oblique crunch,95,Strength
153,Kneeling cable crunch,434,Strength
154,Rope Crunch,435,Strength
155,Standing cable crunch,66,Strength
156,Bosu Ball Cable Crunch With Side Bends,447,Strength
157,Standing Cable Wood Chop,141,Strength
158,Cable reverse crunch,254,Strength
159,Cable Russian Twists,269,Strength
160,Pallof press with rotation,388,Strength
161,Cable Seated Crunch,224,Strength
162,Cable Judo Flip,287,Strength
163,Exercise Ball Cable Crunch - Gethin Variation,491,Strength
164,Standing cable high-to-low twist,374,Strength
165,Bent-Over Reverse Cable Fly,407,Strength
166,Standing Cable Crunch - Gethin Variation,185,Strength
167,AM Cable Crunch,96,Strength
168,Tyler Holt Weighted Knee-To-Chest Crunch,450,Strength
169,Standing cable twist,172,Strength
170,30 Cable Rope Crunch,79,Strength
171,30 Cable Rope Oblique Crunch,182,Strength
172,Cable lying twist on ball,198,Strength
173,30 Cable Pallof Press,58,Strength
174,30 Cable Reverse Crunch On Ball,489,Strength
175,30 Cable Reverse Crunch,112,Strength
176,Tyler Holt Cable Torso Twist,54,Strength
177,Single-Arm Cable Outward-Facing Biceps Curl,273,Strength
178,Biceps Rope Curl,434,Strength
179,Kneeling Cable Crunches,230,Strength
180,Ab Crunch Machine,227,Strength
181,Smith machine straight-legged hip raise,259,Strength
182,Machine crunch,344,Strength
183,AM Ab Machine,214,Strength
184,Smith machine V-up,486,Strength
185,Elbow plank,223,Strength
186,Bottoms Up,255,Strength
187,Spider crawl,231,Strength
188,Cocoons,159,Strength
189,Cross-Body Crunch,313,Strength
190,Elbow-to-knee crunch,223,Strength
191,Decline Crunch,285,Strength
192,Hanging toes-to-bar,141,Strength
193,Hanging Oblique Knee Raise,263,Strength
194,Gorilla Chin/Crunch,69,Strength
195,Hanging leg raise,478,Strength
196,Mountain climber,486,Plyometrics
197,Ab bicycle,496,Strength
198,3/4 sit-up,147,Strength
199,Reverse crunch,325,Strength
200,Crunches,227,Strength
201,Dead bug reach,103,Strength
202,Crunch - Hands Overhead,321,Strength
203,V-up,101,Strength
204,Stomach Vacuum,150,Stretching
205,Russian twist,160,Strength
206,Flat Bench Lying Leg Raise,325,Strength
207,Knees tucked crunch,251,Strength
208,Butt-Ups,92,Strength
209,Feet-elevated oblique crunch,443,Strength
210,Bent-knee reverse crunch,395,Strength
211,Alternating heel-touch,277,Strength
212,Suspended Reverse Crunch,299,Strength
213,Lying bench reverse crunch,494,Strength
214,Sit-up,328,Strength
215,Side Bridge,376,Strength
216,Lying oblique crunch,204,Strength
217,Janda Sit-Up,358,Strength
218,Leg Pull-In,95,Strength
219,Side Jackknife,229,Strength
220,Scissor Kick,167,Stretching
221,Toe Touchers,441,Stretching
222,Lower Back Curl,399,Stretching
223,Exercise ball torso rotation,379,Stretching
224,Seated Overhead Stretch,99,Stretching
225,Overhead Stretch,274,Stretching
226,Seated Scissor Kick,383,Strength
227,Partner resistance standing twist,78,Strength
228,Cross Crunch,59,Strength
229,Full Moon,484,Strength
230,Hanging knee raise with manual resistance,410,Strength
231,Straight-Legged Hip Raise,106,Strength
232,Wall mountain climber,75,Plyometrics
233,Skin The Cat To Push-Up,405,Strength
234,Partner lying leg raise with lateral throw down,245,Strength
235,Hanging leg raise with throw down,437,Strength
236,Partner sit-up with high-five,469,Strength
237,Exercise ball knee roll-in,297,Strength
238,Partner lying leg raise with throw down,333,Strength
239,Crab toe-touch,379,Strength
240,Side kick-through,357,Strength
241,Partner target sit-up,383,Strength
242,Suspended Crunch,456,Strength
243,Jump Lunge,418,Strength
244,Side plank hip dip,392,Strength
245,Elbow plank jack,432,Strength
246,Exercise ball V-up,103,Strength
247,Standing torso twist stretch,66,Strength
248,Slalom jumps,445,Plyometrics
249,Bear crawl,299,Strength
250,Crab single-arm reach,428,Stretching
251,Side lunge cross-body heel-touch,66,Strength
252,Alligator Crawl,157,Strength
253,Lying cross-over lower back stretch,155,Strength
254,Half bird dog,366,Stretching
255,Shoulder tap,291,Strength
256,Double crunch,122,Strength
257,Flutter kick,343,Strength
258,Sprawl,140,Strength
259,Spider plank jack,217,Strength
260,Pillar-To-Plank,108,Strength
261,Alternating High Knee Raise,302,Strength
262,Sumo Squat Pulse,417,Strength
263,Line-Drill Foot Work,351,Strength
264,Plank Fire Hydrants,448,Strength
265,Banded jumping jack,295,Strength
266,Shin hug,335,Strength
267,FYR Bear Crawl Fire Feet,151,Strength
268,Bear crawl up-down,215,Strength
269,FYR Crab Kick,53,Strength
270,Bear crawl hold,373,Strength
271,Traveling bear crawl,386,Strength
272,Single-leg V-up,299,Strength
273,FYR Bear Crawl Shoulder Tap,332,Strength
274,Alternating single-leg sprawl,482,Strength
275,Wide mountain climber,239,Strength
276,Plank leg raise,165,Strength
277,Glute bridge step-out,80,Strength
278,Knee up-down,296,Strength
279,FYR Sprawl,313,Strength
280,Reach crunch,328,Strength
281,FYR Push-Up Plank Hold,425,Strength
282,FYR Hollow-Body Rock,265,Strength
283,V-up plus knee-to-chest combo,455,Strength
284,Side plank lateral raise,63,Strength
285,Superhero burpee,336,Strength
286,Hollow-body abduction,137,Strength
287,FYR Hollow Hold,119,Strength
288,Tip-toe crunch,147,Strength
289,Knee-to-nose pulse,274,Strength
290,Plank walk-out,485,Strength
291,FYR V-Up,344,Strength
292,Long sit-up,72,Strength
293,FYR Breakdancer,338,Strength
294,Seated leg lift,395,Strength
295,Gorilla burpee,69,Strength
296,Knee-in to V-out,165,Strength
297,Bear crawl push-up,267,Strength
298,FYR Front Step,346,Strength
299,Plank reach,119,Strength
300,Eiffel Tower leg raise,277,Strength
301,Straight-arm plank,249,Strength
302,Plank up-down,104,Strength
303,Frog kick,79,Strength
304,FYR Knees to Chest,462,Strength
305,Front kick-through,177,Strength
306,FYR Sit-Up,139,Strength
307,FYR Leg Lift,365,Strength
308,TBS Toes-to-bar,151,Strength
309,FYR Mountain Climber,284,Strength
310,Roman Chair Side Ups,380,Strength
311,Push-Up Roll Out - Gethin Variation,131,Strength
312,Cross-Body Crunch - Gethin Variation,292,Strength
313,Decline leg lift with twist,286,Strength
314,Hanging Leg Raise - Variation Gethin,290,Strength
315,Butterfly crunch,83,Strength
316,Cross-body mountain climber,216,Strength
317,Flat Bench Lying Leg Raise - Gethin Variation,431,Strength
318,Lying leg lift,111,Strength
319,Hanging alternating single-leg raise,59,Strength
320,Plank Walk,320,Strength
321,Sit-Up - Gethin Variation,414,Strength
322,Plank Push-Up,113,Strength
323,Decline crunch-,422,Strength
324,Alternating lying leg raise,154,Strength
325,Decline leg lift,447,Strength
326,Crunch - Gethin Variation,172,Strength
327,Plank - Gethin Variation,114,Strength
328,Barbell floor wiper,402,Strength
329,Prison Push-Up,372,Strength
330,McGill Modified Curl-Up,201,Strength
331,Cross-body toe-touch,158,Strength
332,Toy soldier,203,Strength
333,Natural Glute Ham Raise with Stability Ball,265,Strength
334,Lateral ape,247,Strength
335,Hollow-body knee tuck,465,Strength
336,HM Air Jumping Rope,338,Strength
337,HM Alternating Lunge Reach,457,Strength
338,HM Alternating Side Plank Reach,166,Strength
339,HM Superman Plank,163,Strength
340,HM Table Pose,383,Strength
341,HM Toe Touch,72,Strength
342,HM Right Side Bird-Dog,411,Stretching
343,HM Right Side Crunch,171,Strength
344,HM Bicycle,373,Strength
345,HM Bird-Dog Plank,138,Strength
346,HM Boat Pose,91,Strength
347,HM Bottoms Up,347,Strength
348,HM Bridge,51,Strength
349,HM Running Man Crunch,266,Cardio
350,HM Seated Twist,327,Strength
351,HM Side-Bend Pose,148,Strength
352,HM Side-Plank Arm Wrap,101,Strength
353,HM Side-Plank with Hip Touch,341,Strength
354,HM Side-Plank with Kick,442,Strength
355,HM Side V-Up,219,Strength
356,HM Crab Crunch,279,Strength
357,HM Cross-Over Crunch,408,Strength
358,HM Crunch Pulse,302,Strength
359,HM Dead Bug,276,Strength
360,HM Single-Leg Inchworm,400,Strength
361,HM Floor Jack,447,Strength
362,HM Floor Wiper,413,Strength
363,HM Floor Kick,371,Strength
364,HM Sit-Up,402,Strength
365,HM Slow Mountain Climber,424,Strength
366,HM Slow Sit-Up,53,Strength
367,HM Half-Up,133,Strength
368,HM Hollow-Body Pulse,240,Strength
369,HM Hollow Hold,170,Strength
370,HM Inchworm,155,Strength
371,HM Right Side Hollow Hold with Pulse,440,Strength
372,HM Reverse Crunch with Frisbee,169,Strength
373,HM Left Side Bird-Dog,457,Strength
374,HM Left Side Crunch,228,Strength
375,HM Left Side Hollow Hold With Pulse,493,Strength
376,HM Reverse Crunch,84,Strength
377,HM Low Lunge With External Twist And Arm Reach,451,Strength
378,HM Mountain Climber,75,Strength
379,HM Prison Sit-Up,132,Strength
380,HM Plank Alternating Hip-Dip,394,Strength
381,HM Tuck-Up Get-Up,52,Strength
382,HM Flutter Kick,359,Strength
383,HM Plank,163,Strength
384,McGill Pull-Up,228,Strength
385,AM Leg Lift,77,Strength
386,AM Decline Abs,385,Strength
387,Hanging crunch,389,Strength
388,Tyler Holt Hanging Toes-To-Bar,185,Strength
389,Side plank,172,Strength
390,Bird dog-,290,Strength
391,Single-leg curl up,213,Strength
392,Single-kettlebell windmill,316,Strength
393,UNS Foam Roll Thigh,64,Strength
394,UNS Inverted row,337,Strength
395,UNS T-spine rotation with reach,345,Strength
396,UNS Quadruped thoracic rotation,496,Strength
397,UNS Pec stretch,216,Strength
398,UNS Lat stretch,249,Strength
399,UNS Foam Roll,87,Strength
400,UNS Foam Roll Lats,468,Strength
401,UNS Rocking Adductor Stretch,137,Strength
402,UNS Bird Dog,106,Strength
403,UNS Jumping Jack,144,Strength
404,Ab wheel roll-out,234,Strength
405,Bench mountain climber,475,Strength
406,Feet-elevated bench side plank,97,Strength
407,Cross-body sit-up,256,Strength
408,Decline kayak,244,Strength
409,30 Decline Reverse Crunch,55,Strength
410,Decline sit-up twist,104,Strength
411,30 Flat Bench Leg Raise,326,Strength
412,30 Flutter Kick,408,Strength
413,Chin-up crunch,102,Strength
414,30 Gorilla Chin Oblique Crunch,273,Strength
415,Half Turkish get-up,465,Strength
416,30 Hanging Oblique Crunch,143,Strength
417,30 Hollow-Body Hold,303,Strength
418,Parallel bars knee raise,346,Strength
419,30 Landmine Twist,466,Strength
420,Parallel bars leg raise,491,Strength
421,Otis-up-,388,Strength
422,30 Shoulder Tap,197,Strength
423,30 Spider Crawl,135,Strength
424,Spider crunch,338,Strength
425,Toe-touch,148,Strength
426,30 Hanging Toes-To-Bar,158,Strength
427,30 V-Up,206,Strength
428,Cocoon crunch,331,Strength
429,Bench oblique crunch,427,Strength
430,Full moon-,147,Strength
431,Push-up to side plank,434,Strength
432,Tyler Holt V-Up,240,Strength
433,Tyler Holt Plank,402,Strength
434,Tyler Holt Hip-Dip,112,Strength
435,Suicides,200,Strength
436,Holman Towel Straight Plank Jack,482,Strength
437,Holman Towel Hill Climber,414,Strength
438,Holman Towel Elbow Plank Jack,434,Strength
439,Holman Towel Elbow Plank Pike,387,Strength
440,Holman Towel Straight Plank Hand Reach,463,Strength
441,Holman Towel Wax-On Wax-Off,268,Strength
442,Holman Towel Wide Hill Climber,453,Strength
443,Holman Towel Dirty Dog,310,Strength
444,Holman Straight Plank Shoulder Tap,287,Strength
445,Holman Killer Abs,223,Strength
446,Holman Straight Plank Split Jack,125,Strength
447,Holman Elbow Plank Swim,426,Strength
448,Holman Elbow Plank Saw,149,Strength
449,Holman Feet-Elevated Straight Plank Toe-Tap Series,465,Strength
450,Holman Elbow Plank Pike Pull,369,Strength
451,Holman Hand-Elevated Walk-Over Push-Up,398,Strength
452,Holman Hands-Elevated Hill Climber,182,Strength
453,Holman Seated Pike,347,Strength
454,Holman Feet-Elevated Up-Down Plank,462,Strength
455,Holman Feet-Elevated Hand Tap,86,Strength
456,Holman Reverse Straight Plank with Alternating Heel Pull-In,473,Strength
457,Holman Elbow Plank,335,Strength
458,Holman Straight Plank Squat Thrust,301,Strength
459,Holman Alternating Single-Leg Pike,194,Strength
460,Holman Knee Pull-In Crunch,411,Strength
461,Holman Straight Plank with Hand Tap,443,Strength
462,Holman Straight Plank with Dirty Dog,351,Strength
463,Holman Elbow Plank Roll,188,Strength
464,Holman Froggy Push-Up,468,Strength
465,Holman Straight Plank Hand Tap to Shoulder Tap,166,Strength
466,Holman In-Out Straight Plank,428,Strength
467,Holman Bicycle,305,Strength
468,Holman Alternating Diagonal Knee Pull-in,235,Strength
469,Holman Elbow Plank with Step-Out,223,Strength
470,Holman Alternating Slow L-Raise,108,Strength
471,Holman Feet-Elevated Plank with Shoulder Tap,214,Strength
472,Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,383,Strength
473,Holman Feet-Elevated Up-Down Elbow Plank,148,Strength
474,Holman Feet-Elevated Plank Pike Pull,348,Strength
475,Holman Feet-Elevated Alternating Single-Leg Hip Raise,146,Strength
476,Holman Feet-Elevated Plank Pike Pull to Push-Up,261,Strength
477,Holman Standing Heel Click,286,Strength
478,Holman Straight Plank Right-Left Jack to Split Jack,353,Strength
479,Holman Elbow Plank Jack to Ninja Knees,67,Strength
480,Holman Right Side Elbow Plank with Left Leg Swing,230,Strength
481,Holman Left Side Elbow Plank with Right Leg Swing,438,Strength
482,Holman Straight Plank with Alternating Diagonal Sit-Back,355,Strength
483,Holman Boat Press with Leg Extension,342,Strength
484,Holman Shoulder Tap to Dirty Dog,199,Strength
485,Holman Standing Russian Twist,479,Strength
486,Holman Hovering Plank with Shoulder Tap,227,Strength
487,Holman Elbow Plank to Stacked Plank Hip Drop,150,Strength
488,Holman Elbow Plank to Walk-Up Pike,56,Strength
489,Holman Hill Climber,204,Strength
490,Holman Straight Plank Pike to Renegade Row,93,Strength
491,Holman Alternating Hip Drop to Push-Up,181,Strength
492,Holman Crab Kick,246,Strength
493,Holman Wounded Bear Crawl,428,Strength
494,Holman Alternating Crab Reach,158,Strength
495,Holman Hovering Panther Core Stabilizer,157,Strength
496,Holman Burpee to Forward Lunge,399,Strength
497,Holman Seated Knee Pull-In Series,464,Strength
498,Holman Elbow Plank Pike,493,Strength
499,Holman Elbow Plank Jack to Straight Plank Split Jack,397,Strength
500,Holman Boat Pull-Over,320,Strength
501,Holman Squat Pulse to Plyometric Jump,175,Strength
502,Holman Hands Down Heel Click,476,Strength
503,Holman Straight Plank to Kick-Up,179,Strength
504,Holman Hands-Elevated Split Jack,200,Strength
505,Holman Feet-Elevated Plank Reach,86,Strength
506,Holman Hand-Elevated Side Plank Semicircle,126,Strength
507,Holman Hands-Elevated Straight Plank Pike,475,Strength
508,Holman Alternating Rolling Elbow Plank,358,Strength
509,Holman Elbow Plank Jack,78,Strength
510,Holman Squat Thrust to Alternating Knee-In,93,Strength
511,Holman Supine Double Pike,280,Strength
512,Holman Elbow Plank Alternating Pike,65,Strength
513,Holman Seated Killer Abs,478,Strength
514,Holman Side Plank Hip Drop,203,Strength
515,Holman Wide Hill Climber,286,Strength
516,Holman Straight-Legged Bicycle,362,Strength
517,Holman Stair Toe Tap,443,Strength
518,Holman Elbow Plank Ninja,110,Strength
519,Holman Traveling Stair Climb Push-Up,185,Strength
520,Holman Hands-Elevated Burpee,371,Strength
521,Holman Straight Plank Donkey Kick,469,Strength
522,Holman Feet-Elevated Straight Plank Pike Pull,441,Strength
523,Holman Towel Burpee,412,Strength
524,Holman Elbow Plank to Alternating Side Plank Crunch,346,Strength
525,Holman Straight-Legged Hip Raise,394,Strength
526,Holman Feet-Elevated Hill Climber,331,Strength
527,Holman Ninja Knee Hill Climber,295,Strength
528,Holman Feet-Elevated Shoulder Tap,336,Strength
529,Holman Feet-Elevated Hip Raise,366,Strength
530,Holman Left Hand Right Foot Crab Reach,336,Strength
531,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,421,Strength
532,Holman Right Hand Left Foot Sleeping Crab,369,Strength
533,Holman Left Hand Right Foot Sleeping Crab,494,Strength
534,Holman Straight Plank with Alternating Leg Kick-Under,270,Strength
535,Holman Right Hip Drop Push-Up,355,Strength
536,Holman Right Side Diagonal Burpee,237,Strength
537,Holman Left Hip Drop Push-Up,203,Strength
538,Holman Right Leg 7-Up Crunch,109,Strength
539,Holman Left Leg 7-Up Crunch,486,Strength
540,Holman Straight Plank Jack,173,Strength
541,Holman Feet-Elevated Couch Hill Climber,330,Strength
542,Holman Feet-Elevated Right Side Plank,421,Strength
543,Holman Alternating Up-Down Plank to Push-Up,450,Strength
544,Holman Straight Plank Pike,175,Strength
545,Holman Ninja Knee Straight Plank,421,Strength
546,Holman Reverse Crunch to Hip Raise,203,Strength
547,Holman Straight Plank Quick Reach,457,Strength
548,Holman Alternating Diagonal Straight Plank,134,Strength
549,Holman Feet-Elevated Left Side Plank,439,Strength
550,Holman Right Hand Left Foot Crab Reach,460,Strength
551,Holman Low-Impact Crab Kick,485,Strength
552,Holman Alternating Crab Flip to Froggy Push-Up,317,Strength
553,Holman High-Impact Crab Kick,268,Strength
554,Holman Single-Leg Right Pike,90,Strength
555,Holman Single-Leg Left Pike,93,Strength
556,Holman Shoulder Tap to Hand Tap,348,Strength
557,Holman Towel Reverse Plank Jack,304,Strength
558,Holman Side-to-Side Twist,420,Strength
559,Holman Crab Kick with Hop,398,Strength
560,Holman Crab Reach to Crab Kick,370,Strength
561,Holman Wide Squat Side-to-Side Obliques,109,Strength
562,Holman Side Plank Crunch,418,Strength
563,Total Fitness Ab Tuck,129,Strength
564,Active hang from bar,81,Strength
565,Cat-cow,474,Strength
566,Crab walk,425,Strength
567,Lunge with overhead reach,445,Strength
568,Hang from bar,232,Strength
569,Total Fitness Hollow Hold,227,Strength
570,Total Fitness Side Plank,349,Strength
571,Side plank pulse,295,Strength
572,Total Fitness Spider Crawl (Unweighted),389,Strength
573,Total Fitness V-Up,439,Strength
574,MetaBurn Alternating Knee-to-Elbow Mountain Climber,83,Strength
575,Alternating sit-through with crunch-,197,Strength
576,MetaBurn Alternating Toe-Touch,367,Strength
577,MetaBurn Janda Sit-Up,205,Strength
578,MetaBurn Oblique Roll Crunch,372,Strength
579,MetaBurn Plank Jack,200,Strength
580,MetaBurn Plank To Alternating Side Plank,396,Strength
581,MetaBurn Plank Up-Down,305,Strength
582,MetaBurn Plank Wiper,95,Strength
583,MetaBurn Plank With Alternating Toe-Touch,412,Strength
584,MetaBurn Plyo Push-Up,78,Strength
585,MetaBurn Psycho Crunch,53,Strength
586,MetaBurn Scapular Retraction Plank,189,Strength
587,MetaBurn Scapular Retraction Plank Hold,307,Strength
588,MetaBurn Scorpion,390,Strength
589,MetaBurn Side Crawler,306,Strength
590,MetaBurn Side Plank Oblique Crunch,97,Strength
591,MetaBurn Sit-Through,370,Strength
592,MetaBurn Sit-Up To V-Up,374,Strength
593,MetaBurn Sit-Up With Rotation,363,Strength
594,MetaBurn Split-Leg Crunch,317,Strength
595,MetaBurn Tabletop Hip Thrust,375,Strength
596,MetaBurn Tabletop With Russian Kick,297,Strength
597,MetaBurn Toe Driver Abs,214,Strength
598,MetaBurn-V-Up,263,Strength
599,X-body V-up,218,Strength
600,MetaBurn Swivel Crunch,109,Strength
601,Robertson Core-Engaged Dead Bug,268,Strength
602,FYR2 Double-Under,409,Strength
603,FYR2 Fire Feet with Burpee Tuck Jump Drill,490,Strength
604,FYR2 Flutter Kick,463,Strength
605,FYR2 Half-Moon,219,Strength
606,FYR2 Leopard Crawl,451,Strength
607,FYR2 Plank Alternating Front Step,282,Strength
608,FYR2 Shoulder Tap,481,Strength
609,Hand shift plank,360,Strength
610,Cross-body plank march,496,Strength
611,Bent-knee Copenhagen hip adduction,217,Strength
612,Copenhagen plank,104,Strength
613,ACFT Hanging leg tuck,97,Strength
614,Alternating hanging knee raise,363,Strength
615,Plank To Sphinx,188,Strength
616,Twisting Mountain Climbers,406,Strength
617,Jack Knives,301,Strength
618,Hanging Leg Raises,132,Strength
619,Dumbbell suitcase crunch,264,Strength
620,Medicine ball rotational throw,286,Strength
621,Hollow-hold ball toss,313,Strength
622,Partner front Russian twist and pass,277,Strength
623,Sit-up with single-arm overhand throw,82,Plyometrics
624,Medicine ball partner twist,297,Plyometrics
625,Partner side Russian twist and pass,245,Strength
626,Medicine ball half moon,361,Strength
627,Exercise ball roll-out,195,Strength
628,Medicine ball pass,153,Strength
629,Partner medicine ball sit-up,86,Strength
630,Medicine ball Russian twist,184,Strength
631,30 Medicine Ball Slam,332,Strength
632,Medicine ball twist,489,Strength
633,FYR2 Medicine Ball Complex,453,Strength
634,FYR2 Medicine Ball Fire-Feet Drill,319,Strength
635,FYR2 Medicine Ball Knees-to-Chest,351,Strength
636,FYR2 Medicine Ball Mountain Climber,121,Strength
637,Decline oblique crunch,455,Strength
